"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1207","Show error for too short password","chromium","Fri Oct 31 17:35:44 PKT 2025","passed","Fri Oct 31 17:35:45 PKT 2025","Login Page Functional Tests","loginPage\loginTests.spec.ts","",""
"","1776","Show error for locked out user","webkit","Thu Oct 30 19:04:43 PKT 2025","passed","Thu Oct 30 19:04:45 PKT 2025","Login Page Functional Tests","loginPage\loginTests.spec.ts","",""
"","2031","Show error for locked out user","firefox","Thu Oct 30 19:04:22 PKT 2025","passed","Thu Oct 30 19:04:24 PKT 2025","Login Page Functional Tests","loginPage\loginTests.spec.ts","",""
"","1519","Login successfully with valid credentials","chromium","Fri Oct 31 17:35:40 PKT 2025","passed","Fri Oct 31 17:35:41 PKT 2025","Login Page Functional Tests","loginPage\loginTests.spec.ts","",""
"","1154","Error message disappears after clicking close icon","chromium","Fri Oct 31 17:35:49 PKT 2025","passed","Fri Oct 31 17:35:50 PKT 2025","Login Page Functional Tests","loginPage\loginTests.spec.ts","",""
"","3804","Login successfully with valid credentials","firefox","Thu Oct 30 19:04:12 PKT 2025","passed","Thu Oct 30 19:04:16 PKT 2025","Login Page Functional Tests","loginPage\loginTests.spec.ts","",""
"","1550","Show error for empty username","webkit","Thu Oct 30 19:04:38 PKT 2025","passed","Thu Oct 30 19:04:40 PKT 2025","Login Page Functional Tests","loginPage\loginTests.spec.ts","",""
"","1270","Show error for invalid credentials","chromium","Fri Oct 31 17:35:43 PKT 2025","passed","Fri Oct 31 17:35:44 PKT 2025","Login Page Functional Tests","loginPage\loginTests.spec.ts","",""
"","0","Verify checkout page opens correctly","firefox","Thu Oct 30 21:00:56 PKT 2025","skipped","Thu Oct 30 21:00:56 PKT 2025","Products Page Functional Tests","productsPage\productsFlow.spec.ts","",""
"","1124","Show error for whitespace-only credentials","chromium","Fri Oct 31 17:35:47 PKT 2025","passed","Fri Oct 31 17:35:48 PKT 2025","Login Page Functional Tests","loginPage\loginTests.spec.ts","",""
"","1","Clicking product name or image opens correct detail page","firefox","Thu Oct 30 21:00:56 PKT 2025","skipped","Thu Oct 30 21:00:56 PKT 2025","Products Page Functional Tests","productsPage\productsFlow.spec.ts","",""
"","0","Error message disappears after clicking close icon","webkit","Thu Oct 30 21:00:56 PKT 2025","skipped","Thu Oct 30 21:00:56 PKT 2025","Login Page Functional Tests","loginPage\loginTests.spec.ts","",""
"","1753","Show error for invalid credentials","firefox","Thu Oct 30 19:04:18 PKT 2025","passed","Thu Oct 30 19:04:20 PKT 2025","Login Page Functional Tests","loginPage\loginTests.spec.ts","",""
"","1728","Show error for empty username","firefox","Thu Oct 30 19:04:17 PKT 2025","passed","Thu Oct 30 19:04:18 PKT 2025","Login Page Functional Tests","loginPage\loginTests.spec.ts","",""
